average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,0,11,-1.0,1,0,92.99999988521449,0,11,37.76230639974529,2,0,0
0,0,9,-1.0,2,0,61.99999923584983,0,20,79.90334229409648,1,0,0
0,0,11,-1.0,3,0,92.99999988521449,0,31,78.97174038813746,2,0,0
0,0,11,-1.0,4,0,92.99999988521449,0,42,79.64904066927,2,0,0
0,0,11,-1.0,5,0,92.99999988521449,0,53,78.86738951690516,2,0,0
0,0,11,-1.0,6,0,92.99999988521449,0,64,78.99445603005181,2,0,0
0,0,7,-1.0,7,0,44.99999940046109,0,71,83.73941639357353,1,0,0
0,0,9,-1.0,8,0,61.99999923584983,0,80,82.41524263641544,1,0,0
0,0,7,-1.0,9,0,44.99999940046109,0,87,81.6741117005444,1,0,0
0,0,7,-1.0,10,0,44.99999940046109,0,94,80.68873138409703,1,0,0
0,0,11,-1.0,11,0,92.99999988521449,0,105,77.54631616985873,2,0,0
0,0,11,-1.0,12,0,92.99999988521449,0,116,74.48980105848125,2,0,0
0,0,11,-1.0,13,0,92.99999988521449,0,127,76.28566940642894,2,0,0
0,0,1,-1.0,14,0,0,0,128,85.47767429537997,0,0,0
0,0,11,-1.0,15,0,92.99999988521449,0,139,77.97606162728204,2,0,0
0,0,11,-1.0,16,0,92.99999988521449,0,150,77.66588951416466,2,0,0
0,0,11,-1.0,17,0,92.99999988521449,0,161,77.48185268531891,2,0,0
0,0,11,-1.0,18,0,92.99999988521449,0,172,80.2697106192119,2,0,0
0,0,11,-1.0,19,0,92.99999988521449,0,183,79.83523992614728,2,0,0
0,0,11,-1.0,20,0,92.99999988521449,0,194,79.45098174278718,2,0,0
0,0,11,-1.0,21,0,92.99999988521449,0,205,79.73341858998177,2,0,0
0,0,9,-1.0,22,0,61.99999923584983,0,214,82.46583506280722,1,0,0
0,0,11,-1.0,23,0,92.99999988521449,0,225,74.56094585051076,2,0,0
0,0,7,-1.0,24,0,44.99999940046109,0,232,82.17772254503521,1,0,0
0,0,11,-1.0,25,0,92.99999988521449,0,243,75.9616251520884,2,0,0
0,0,1,-1.0,26,0,0,0,244,84.54553517436001,0,0,0
0,0,2,-1.0,27,0,0,0,246,88.1091516380098,0,0,0
0,0,11,-1.0,28,0,92.99999988521449,0,257,79.45494968768998,2,0,0
0,0,11,-1.0,29,0,92.99999988521449,0,268,79.8841734005364,2,0,0
0,0,3,-1.0,30,0,0,0,271,87.63083780207535,0,0,0
0,0,11,-1.0,31,0,92.99999988521449,0,282,77.1650078189679,2,0,0
0,0,11,-1.0,32,0,92.99999988521449,0,293,79.21934065934066,2,0,0
0,0,11,-1.0,33,0,92.99999988521449,0,304,79.85804044019649,2,0,0
0,0,11,-1.0,34,0,92.99999988521449,0,315,77.73170739925801,2,0,0
0,0,11,-1.0,35,0,92.99999988521449,0,326,73.27226007273651,2,0,0
0,0,1,-1.0,36,0,0,0,327,82.65941429190808,0,0,0
0,0,11,-1.0,37,0,92.99999988521449,0,338,77.5408423766443,2,0,0
0,0,10,-1.0,38,0,84.99999880092219,0,348,81.13166013830455,2,0,0
0,0,11,-1.0,39,0,92.99999988521449,0,359,81.89673388241977,2,0,0
0,0,5,-1.0,40,0,0,0,364,88.84957251921334,0,0,0
0,0,11,-1.0,41,0,92.99999988521449,0,375,79.17841912061246,2,0,0
0,0,11,-1.0,42,0,92.99999988521449,0,386,77.32057878136825,2,0,0
0,0,6,-1.0,43,0,44.99999940046109,0,392,80.43180220145486,0,0,0
0,0,11,-1.0,44,0,92.99999988521449,0,403,81.5615751093826,2,0,0
0,0,1,-1.0,45,0,0,0,404,89.14567481402763,0,0,0
0,0,5,-1.0,46,0,0,0,409,88.56365816990152,0,0,0
0,0,10,-1.0,47,0,97.99999727867544,0,419,79.96918911704704,2,0,0
0,0,11,-1.0,48,0,92.99999988521449,0,430,80.08648588598389,2,0,0
0,0,10,-1.0,49,0,84.99999880092219,0,440,80.22247979282143,2,0,0
0,0,11,-1.0,50,0,92.99999988521449,0,451,79.62525995329901,2,0,0
0,0,1,-1.0,51,0,0,0,452,87.52173277966739,0,0,0
0,0,10,-1.0,52,0,84.99999880092219,0,462,80.88960545550623,2,0,0
0,0,9,-1.0,53,0,61.99999923584983,0,471,81.70722077922078,1,0,0
0,0,11,-1.0,54,0,92.99999988521449,0,482,79.14215531555763,2,0,0
0,0,11,-1.0,55,0,92.99999988521449,0,493,76.08852768304187,2,0,0
0,0,10,-1.0,56,0,84.99999880092219,0,503,77.66956347832206,2,0,0
0,0,3,-1.0,57,0,0,0,506,88.4339429037291,0,0,0
0,0,11,-1.0,58,0,92.99999988521449,0,517,81.04194961549406,2,0,0
0,0,11,-1.0,59,0,92.99999988521449,0,528,81.15998972688284,2,0,0
0,0,11,-1.0,60,0,92.99999988521449,0,539,82.57080218554981,2,0,0
0,0,4,-1.0,61,0,0,0,543,89.69902533696181,0,0,0
0,0,3,-1.0,62,0,0,0,546,83.86986515940252,0,0,0
0,0,6,-1.0,63,0,44.99999940046109,0,552,80.13930056746894,0,0,0
0,0,11,-1.0,64,0,92.99999988521449,0,563,75.76465951563003,2,0,0
0,0,5,-1.0,65,0,0,0,568,82.54651515211154,0,0,0
0,0,1,-1.0,66,0,0,0,569,83.39073901027895,0,0,0
0,0,11,-1.0,67,0,92.99999988521449,0,580,75.98614581154548,2,0,0
0,0,9,-1.0,68,0,61.99999923584983,0,589,84.28540552126967,1,0,0
0,0,1,-1.0,69,0,0,0,590,92.51596964884419,0,0,0
0,0,11,-1.0,70,0,92.99999988521449,0,601,81.41663931446561,2,0,0
0,0,11,-1.0,71,0,92.99999988521449,0,612,78.78940807202456,2,0,0
0,0,8,-1.0,72,0,61.99999923584983,0,620,82.68385672324403,1,0,0
0,0,11,-1.0,73,0,92.99999988521449,0,631,81.223142358177,2,0,0
0,0,11,-1.0,74,0,92.99999988521449,0,642,82.18631752393676,2,0,0
0,0,10,-1.0,75,0,97.99999727867544,0,652,78.32134820970076,2,0,0
0,0,3,-1.0,76,0,0,0,655,87.51260223668837,0,0,0
0,0,11,-1.0,77,0,92.99999988521449,0,666,77.39126438169811,2,0,0
0,0,11,-1.0,78,0,92.99999988521449,0,677,79.28400395239936,2,0,0
0,0,4,-1.0,79,0,0,0,681,85.76738764806021,0,0,0
0,0,7,-1.0,80,0,44.99999940046109,0,688,82.12025978530232,1,0,0
0,0,5,-1.0,81,0,0,0,693,82.00969810730487,0,0,0
0,0,11,-1.0,82,0,92.99999988521449,0,704,72.539001784493,2,0,0
0,0,11,-1.0,83,0,92.99999988521449,0,715,76.98282052993393,2,0,0
0,0,11,-1.0,84,0,92.99999988521449,0,726,76.94635792956684,2,0,0
0,0,11,-1.0,85,0,92.99999988521449,0,737,80.48970705223932,2,0,0
0,0,11,-1.0,86,0,92.99999988521449,0,748,83.72942984851977,2,0,0
0,0,11,-1.0,87,0,92.99999988521449,0,759,81.83238471593802,2,0,0
0,0,11,-1.0,88,0,92.99999988521449,0,770,81.26577587391279,2,0,0
0,0,3,-1.0,89,0,0,0,773,86.48822231539587,0,0,0
0,0,11,-1.0,90,0,92.99999988521449,0,784,79.77822658735649,2,0,0
0,0,7,-1.0,91,0,44.99999940046109,0,791,84.57890203466683,1,0,0
0,0,11,-1.0,92,0,92.99999988521449,0,802,77.36206659490058,2,0,0
0,0,11,-1.0,93,0,92.99999988521449,0,813,79.95477633382608,2,0,0
0,0,2,-1.0,94,0,0,0,815,89.34030566057831,0,0,0
0,0,11,-1.0,95,0,92.99999988521449,0,826,81.64615485348325,2,0,0
0,0,8,-1.0,96,0,61.99999923584983,0,834,80.80187252569425,1,0,0
0,0,11,-1.0,97,0,92.99999988521449,0,845,80.90282509850407,2,0,0
0,0,11,-1.0,98,0,92.99999988521449,0,856,80.67210340052316,2,0,0
0,0,11,-1.0,99,0,92.99999988521449,0,867,77.72751685540906,2,0,0
0,0,11,-1.0,100,0,92.99999988521449,0,878,80.08759803223825,2,0,0
0,0,11,-1.0,101,0,92.99999988521449,0,889,79.81549000951475,2,0,0
0,0,3,-1.0,102,0,0,0,892,88.80404818868963,0,0,0
0,0,11,-1.0,103,0,92.99999988521449,0,903,80.44227315681741,2,0,0
0,0,11,-1.0,104,0,92.99999988521449,0,914,76.98538962122477,2,0,0
0,0,11,-1.0,105,0,92.99999988521449,0,925,77.85356140643957,2,0,0
