average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,-104345.25644914604,1281,7631.5835,1,129,131878.00029407255,121,1281,102.16760900375036,144,49,-12625776.030346671
0,-109548.15651600268,1281,6654.301,2,135,140454.0003118408,128,2562,110.21804516198395,146,54,-14022164.034048343
0,-121243.73345447092,1281,2650.5225,3,138,149839.00020147208,135,3843,104.34311959142438,145,60,-16367904.016353574
0,-59742.94853346532,1281,3420.689,4,82,61811.99979851837,78,5124,14.828436157258798,143,25,-4659949.985610295
0,-72840.57151620383,1281,2459.8625,5,66,90781.00011365721,63,6405,12.883502333408945,140,20,-4588956.005520841
0,-124885.30266542044,1281,2679.4968,6,155,157594.00015259278,152,7686,14.149414450600872,152,65,-18982566.005143907
0,-61963.57247050203,1281,2676.1316,7,155,69189.00023950497,152,8967,13.703334881636522,147,75,-9418463.015516309
0,-41046.86281976999,1281,53651.68,8,156,45937.00010744622,102,10248,13.974335433695757,153,66,-4186780.007616539
0,-100903.76728878554,1281,11692.404,9,158,130283.00022822106,146,11529,13.968740179393565,152,70,-14731950.02416269
0,-61609.33806481751,1281,9679.358,10,158,77706.00028220448,148,12810,14.258890805123407,148,65,-9118182.033592992
0,-73463.48131540118,1281,24709.69,11,158,97527.00013343478,133,14091,13.176087324407304,150,73,-9770643.014948357
0,-48513.54757247591,1281,62718.69,12,158,64003.00021060626,95,15372,14.224451665131454,148,62,-4608787.019385211
0,-77724.74097766755,1281,22692.861,13,158,102413.00031872583,135,16653,14.049658105635721,151,69,-10492840.031985119
0,-66977.27070461077,1281,24705.795,14,158,83715.00001194538,133,17934,13.184273774694805,148,73,-8907977.003713232
0,-52688.274975534114,1281,37728.39,15,158,64437.00005286373,120,19215,12.840010047076223,147,60,-6322592.997064094
0,-41431.35786922045,1281,48753.94,16,158,45770.00014359946,109,20496,13.062223246159883,149,51,-4516018.0077450285
0,-38234.000042995984,1281,70776.945,17,158,44176.000162661076,87,21777,14.17156168845959,151,63,-3326358.0037406506
0,-42831.95424848332,1281,70770.79,18,158,53263.00027195248,87,23058,15.222428220569396,150,64,-3726380.0196180493
0,-48769.897453412224,1281,40737.94,19,158,59640.000090715475,117,24339,14.461714826034058,148,59,-5706078.00204923
0,-46057.82025290371,1281,68773.66,20,158,53502.000049400376,89,25620,14.173593372788723,152,61,-4099146.00250843
0,-40924.591064552784,1281,69788.78,21,158,43724.00018328219,88,26901,14.107804278275243,150,59,-3601364.0136806453
0,-53342.153798297826,1281,53749.74,22,158,56972.99993447494,104,28182,14.457628720925854,151,65,-5547583.995022974
0,-52178.37486713747,1281,53737.05,23,158,63919.99988212832,104,29463,11.838383215392376,151,60,-5426550.986182297
0,-32696.499911195926,1281,69784.23,24,158,31924.99992220546,88,30744,14.722465343795172,150,58,-2877291.9921852415
0,-33979.2143994558,1281,73809.766,25,158,30769.000160585856,84,32025,15.372413786296004,152,61,-2854254.0095542874
0,-44974.075206359834,1281,65770.88,26,159,49383.99989885045,93,33306,13.139737261572211,150,54,-4182588.9941914645
0,-36315.47885028773,1281,87823.91,27,159,37709.000047248555,71,34587,14.185157909426241,153,59,-2578398.9983704286
0,-37946.40576335457,1281,89809.56,28,159,41528.9999582991,69,35868,15.287081598314648,151,59,-2618301.997671465
0,-23120.355954121274,1281,99873.01,29,159,19189.000035859644,59,37149,14.974724351423081,154,68,-1364101.0012931551
