average_flow_time,average_tardiness,episode_length,episode_return,episodes,jobs_completed,makespan,penalty_count,steps,steps_per_second,total_major_setups,total_minor_setups,total_tardiness
0,0,2,-1.0,1,0,0,0,2,5.225563787997523,0,0,0
0,0,1,-1.0,2,0,0,0,3,81.90880153104068,0,0,0
0,0,13,-1.0,3,0,83.00000042887405,0,16,91.23376686393898,3,0,0
0,0,8,-1.0,4,0,53.0000004847534,0,24,93.33612980214241,1,0,0
0,0,32,3999.0,5,4,532.0000007655472,0,56,87.85245355464166,10,1,0
0,0,3,-1.0,6,0,0,0,59,98.02294982355278,0,0,0
0,0,19,1999.0,7,2,302.9999957443215,0,78,90.23869408756661,5,1,0
0,0,8,-1.0,8,0,53.0000004847534,0,86,91.32445702465843,1,0,0
0,0,5,-1.0,9,0,0,0,91,97.7173902914069,0,0,0
0,0,22,2999.0,10,3,336.9999971985817,0,113,88.93285799511747,6,1,0
0,0,32,3999.0,11,4,532.0000007655472,0,145,88.56666202555952,10,1,0
0,0,32,3999.0,12,4,532.0000007655472,0,177,88.83931606733422,10,1,0
0,0,8,-1.0,13,0,53.0000004847534,0,185,95.46340436427779,1,0,0
0,0,12,-1.0,14,0,80.00000135158189,0,197,90.87677599328332,3,0,0
0,0,14,-1.0,15,0,92.99999988521449,0,211,95.68172278492563,3,0,0
0,0,35,3999.0,16,4,630.9999944153242,0,246,89.70380762894561,10,2,0
0,0,32,3999.0,17,4,532.0000007655472,0,278,88.8243825800141,10,1,0
0,0,27,2999.0,18,3,433.9999967138283,0,305,87.81689428740698,8,1,0
0,0,11,-1.0,19,0,61.99999923584983,0,316,97.43586581206509,3,0,0
0,0,15,1999.0,20,2,159.99999542720616,0,331,90.21314914417715,3,0,0
0,0,7,-1.0,21,0,48.00000151619315,0,338,101.49485786979263,1,0,0
0,0,27,2999.0,22,3,433.9999967138283,0,365,91.30431922187572,8,1,0
0,0,10,-1.0,23,0,61.99999923584983,0,375,97.65050451432057,2,0,0
0,0,32,3999.0,24,4,532.0000007655472,0,407,90.69243379042949,10,1,0
0,0,8,-1.0,25,0,53.0000004847534,0,415,98.89136060075566,1,0,0
0,0,31,4999.0,26,5,532.0000007655472,0,446,88.54099424519121,9,1,0
0,0,7,-1.0,27,0,48.00000151619315,0,453,99.0009846104045,1,0,0
0,0,32,3999.0,28,4,532.0000007655472,0,485,87.88806294625785,10,1,0
0,0,2,-1.0,29,0,0,0,487,91.28371202228607,0,0,0
0,0,4,-1.0,30,0,0,0,491,94.2005715857856,0,0,0
0,0,30,3999.0,31,4,523.9999961142894,0,521,83.37465983656253,9,1,0
0,0,16,1999.0,32,2,159.99999542720616,0,537,92.77098960162127,4,0,0
0,0,17,1999.0,33,2,177.99999814247712,0,554,88.59550431961551,4,0,0
0,0,6,-1.0,34,0,48.00000151619315,0,560,96.30160376239367,0,0,0
0,0,8,-1.0,35,0,53.0000004847534,0,568,94.97191410351844,1,0,0
0,0,31,3999.0,36,4,532.0000007655472,0,599,91.6425906217182,9,1,0
0,0,32,3999.0,37,4,532.0000007655472,0,631,91.53753054542206,10,1,0
0,0,18,1999.0,38,2,302.9999957443215,0,649,85.58280668860532,4,1,0
0,0,1,-1.0,39,0,0,0,650,82.37046347211312,0,0,0
0,0,11,-1.0,40,0,61.99999923584983,0,661,96.21287333119237,3,0,0
0,0,32,3999.0,41,4,532.0000007655472,0,693,88.372241612824,10,1,0
0,0,11,-1.0,42,0,83.00000042887405,0,704,95.34459321224796,2,0,0
0,0,13,-1.0,43,0,83.00000042887405,0,717,96.26315176210132,3,0,0
0,0,10,-1.0,44,0,61.99999923584983,0,727,96.9001589472517,2,0,0
0,0,23,2999.0,45,3,336.9999971985817,0,750,91.27602510377115,7,1,0
0,0,32,3999.0,46,4,532.0000007655472,0,782,87.9743007392929,10,1,0
0,0,20,1999.0,47,2,306.9999985652976,0,802,90.24219904772765,5,1,0
0,0,7,-1.0,48,0,48.00000151619315,0,809,101.63117321877954,1,0,0
0,0,8,-1.0,49,0,53.0000004847534,0,817,96.13761764916553,1,0,0
0,0,32,3999.0,50,4,532.0000007655472,0,849,91.70126280966439,10,1,0
0,0,32,3999.0,51,4,532.0000007655472,0,881,90.90995346052273,10,1,0
0,0,5,-1.0,52,0,0,0,886,101.91233356011274,0,0,0
0,0,32,3999.0,53,4,532.0000007655472,0,918,88.89627400279768,10,1,0
0,0,17,1999.0,54,2,137.00000356999226,0,935,89.45928842250008,4,0,0
0,0,20,1999.0,55,2,306.9999985652976,0,955,89.23509957374925,5,1,0
0,0,14,-1.0,56,0,92.99999988521449,0,969,92.5951863958837,3,0,0
0,0,23,2999.0,57,3,336.9999971985817,0,992,89.4916834111651,7,1,0
0,0,15,1999.0,58,2,159.99999542720616,0,1007,93.69396416923558,3,0,0
0,0,11,-1.0,59,0,61.99999923584983,0,1018,99.17018962500592,3,0,0
0,0,5,-1.0,60,0,0,0,1023,97.65959923815201,0,0,0
0,0,5,-1.0,61,0,0,0,1028,98.60876270724206,0,0,0
0,0,32,3999.0,62,4,532.0000007655472,0,1060,91.08763957404847,10,1,0
0,0,32,3999.0,63,4,532.0000007655472,0,1092,89.24264676548108,10,1,0
0,0,6,-1.0,64,0,48.00000151619315,0,1098,101.55781725437654,0,0,0
0,0,19,1999.0,65,2,302.9999957443215,0,1117,89.55359723467711,5,1,0
0,0,28,2999.0,66,3,472.9999971925281,0,1145,89.20993793160551,8,1,0
0,0,32,3999.0,67,4,532.0000007655472,0,1177,91.64728785123691,10,1,0
0,0,4,-1.0,68,0,0,0,1181,95.39989309799729,0,0,0
0,0,9,-1.0,69,0,53.0000004847534,0,1190,92.09996413470711,2,0,0
0,0,7,-1.0,70,0,48.00000151619315,0,1197,93.87340574172777,1,0,0
0,0,11,-1.0,71,0,61.99999923584983,0,1208,97.29121777069244,3,0,0
0,0,34,3999.0,72,4,532.0000007655472,0,1242,87.29430647265256,10,1,0
0,0,17,1999.0,73,2,177.99999814247712,0,1259,83.13425293842626,4,0,0
0,0,22,2999.0,74,3,336.9999971985817,0,1281,85.6863502180819,6,1,0
0,0,32,3999.0,75,4,532.0000007655472,0,1313,83.85877348688334,10,1,0
0,0,32,3999.0,76,4,532.0000007655472,0,1345,85.90412906190616,10,1,0
0,0,32,3999.0,77,4,532.0000007655472,0,1377,88.06775728529922,10,1,0
0,0,25,2999.0,78,3,405.99999703699723,0,1402,81.79156168828636,7,1,0
0,0,13,-1.0,79,0,83.00000042887405,0,1415,95.15740094379136,3,0,0
0,0,9,-1.0,80,0,53.0000004847534,0,1424,98.70111777856218,2,0,0
0,0,5,-1.0,81,0,0,0,1429,106.90918730437087,0,0,0
0,0,6,-1.0,82,0,48.00000151619315,0,1435,97.94550415082297,0,0,0
0,0,11,-1.0,83,0,61.99999923584983,0,1446,97.32035935090713,3,0,0
0,0,5,-1.0,84,0,0,0,1451,101.688478565506,0,0,0
0,0,18,1999.0,85,2,302.9999957443215,0,1469,94.61500055141714,4,1,0
0,0,10,-1.0,86,0,61.99999923584983,0,1479,98.56218672820286,2,0,0
0,0,32,3999.0,87,4,532.0000007655472,0,1511,87.08718728669052,10,1,0
0,0,32,3999.0,88,4,532.0000007655472,0,1543,90.62097416157975,10,1,0
0,0,10,-1.0,89,0,61.99999923584983,0,1553,95.41834065109084,2,0,0
0,0,32,3999.0,90,4,532.0000007655472,0,1585,87.95210585361251,10,1,0
0,0,18,1999.0,91,2,302.9999957443215,0,1603,74.69265860354679,4,1,0
0,0,2,-1.0,92,0,0,0,1605,78.93600323700727,0,0,0
0,0,3,-1.0,93,0,0,0,1608,56.98395489436859,0,0,0
0,0,11,-1.0,94,0,61.99999923584983,0,1619,75.37882572830365,3,0,0
0,0,10,-1.0,95,0,61.99999923584983,0,1629,77.6862510487995,2,0,0
0,0,3,-1.0,96,0,0,0,1632,83.98406140497246,0,0,0
0,0,16,1999.0,97,2,159.99999542720616,0,1648,81.37652954935969,4,0,0
0,0,19,1999.0,98,2,302.9999957443215,0,1667,82.77454851016404,5,1,0
